function, code1, hexcode1, code2, hexcode2
"QRIOCITY","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,24,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,600 ","0000 0067 0000 0015 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0258",,

"RETURN","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"REVERSE","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,23,23,48,23,48,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"SLOW FORWARD","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"SLOW REVERSE","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,23,23,23,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"SONY ENTERTAINMENT NETWORK","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,24,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,502 ","0000 0068 0000 0015 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 01F6",,

"STOP","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,23,23,48,23,48,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,534 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0216",,

"SUBTITLE","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,23,23,23,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"VIDEO FORMAT","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,534 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0216",,
